Type;Immatriculation;Marque;Modele;Etat;Valeur
Moto;GE-987654;Kawasaki;K200;Abandon;200
Voiture;VD-123456;Citroen;C4;Casse;5
Moto;VS-456789;Suzuki;S400;Stationnement;400
Voiture;GE-987655;Audi;A2;Stationnement;3
Moto;VD-123457;Yamaha;Y234;Stationnement;250
Voiture;VS-456790;Ford;Mondeo;Stationnement;5
Moto;GE-987656;Ducati;D300;Stationnement;300
Voiture;VD-123458;Vw;Polo;Stationnement;3
Moto;VS-456791;Honda;H231;Stationnement;230
Voiture;GE-987657;Honda;Accord;Stationnement;5
Moto;VD-123459;Kawasaki;K123;Abandon;150
Voiture;VS-456792;Citroen;Picasso;Casse;5
Moto;GE-987658;Suzuki;S550;Casse;550
Voiture;VD-123460;Audi;A4;Stationnement;5
Moto;VS-456793;Yamaha;Y500;Stationnement;500
Voiture;GE-987659;Ford;Focus;Stationnement;3
Moto;VD-123461;Ducati;D700;Stationnement;700
Voiture;VS-456794;Vw;Golf;Stationnement;3
Moto;GE-987660;Honda;PR600;Abandon;600
Voiture;VD-123462;Honda;Civic;Stationnement;5
